Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,151.539993286133,152.380004882813,148.389999389648,149.929992675781,149.929992675781,47339400
2024-01-03,149.199996948242,151.050003051758,148.330001831055,148.470001220703,148.470001220703,49425500
2024-01-04,145.589996337891,147.380004882813,144.050003051758,144.570007324219,144.570007324219,56039800
2024-01-05,144.690002441406,146.589996337891,144.529998779297,145.240005493164,145.240005493164,45124800
2024-01-08,146.740005493164,149.399993896484,146.149993896484,149.100006103516,149.100006103516,46757100
2024-01-09,148.330001831055,151.710006713867,148.210006713867,151.369995117188,151.369995117188,43812600
2024-01-10,152.059997558594,154.419998168945,151.880004882813,153.729995727539,153.729995727539,44421800
2024-01-11,155.039993286133,157.169998168945,153.119995117188,155.179992675781,155.179992675781,49072700
2024-01-12,155.389999389648,156.199996948242,154.009994506836,154.619995117188,154.619995117188,40460300
2024-01-16,153.529998779297,154.990005493164,152.149993896484,153.160003662109,153.160003662109,41384600
2024-01-17,151.490005493164,152.149993896484,149.910003662109,151.710006713867,151.710006713867,34953400
2024-01-18,152.770004272461,153.779998779297,151.820007324219,153.5,153.5,37850200
2024-01-19,153.830001831055,155.759994506836,152.740005493164,155.339996337891,155.339996337891,51033700
2024-01-22,156.889999389648,157.050003051758,153.899993896484,154.779998779297,154.779998779297,43687500
2024-01-23,154.850006103516,156.210006713867,153.929992675781,156.020004272461,156.020004272461,37986000
2024-01-24,157.800003051758,158.509994506836,156.479995727539,156.869995117188,156.869995117188,48547300
2024-01-25,156.949996948242,158.509994506836,154.550003051758,157.75,157.75,43638600
2024-01-26,158.419998168945,160.720001220703,157.910003662109,159.119995117188,159.119995117188,51047400
2024-01-29,159.339996337891,161.289993286133,158.899993896484,161.259994506836,161.259994506836,45270400
2024-01-30,160.699996948242,161.729995727539,158.490005493164,159,159,45207400
2024-01-31,157,159.009994506836,154.809997558594,155.199996948242,155.199996948242,50284400
2024-02-01,155.869995117188,159.759994506836,155.619995117188,159.279998779297,159.279998779297,76542400
2024-02-02,169.190002441406,172.5,167.330001831055,171.809997558594,171.809997558594,117154900
2024-02-05,170.199996948242,170.550003051758,167.699996948242,170.309997558594,170.309997558594,55081300
2024-02-06,169.389999389648,170.710006713867,167.649993896484,169.149993896484,169.149993896484,42505500
2024-02-07,169.479995727539,170.880004882813,168.940002441406,170.529998779297,170.529998779297,47174100
2024-02-08,169.649993896484,171.429992675781,168.880004882813,169.839996337891,169.839996337891,42316500
2024-02-09,170.899993896484,175,170.580001831055,174.449996948242,174.449996948242,56986000
2024-02-12,174.800003051758,175.389999389648,171.539993286133,172.339996337891,172.339996337891,51050400
2024-02-13,167.729995727539,170.949996948242,165.75,168.639999389648,168.639999389648,56345100
2024-02-14,169.210006713867,171.210006713867,168.279998779297,170.979995727539,170.979995727539,42815500
2024-02-15,170.580001831055,171.169998168945,167.589996337891,169.800003051758,169.800003051758,49855200
2024-02-16,168.740005493164,170.419998168945,167.169998168945,169.509994506836,169.509994506836,48074600
2024-02-20,167.830001831055,168.710006713867,165.740005493164,167.080001831055,167.080001831055,41980300
2024-02-21,168.940002441406,170.229995727539,167.139999389648,168.589996337891,168.589996337891,44575600
2024-02-22,173.100006103516,174.800003051758,171.770004272461,174.580001831055,174.580001831055,55392400
2024-02-23,174.279998779297,175.75,173.699996948242,174.990005493164,174.990005493164,59715200
2024-02-26,175.699996948242,176.369995117188,174.259994506836,174.729995727539,174.729995727539,44368600
2024-02-27,174.080001831055,174.619995117188,172.860000610352,173.539993286133,173.539993286133,31141700
2024-02-28,172.440002441406,174.050003051758,172.270004272461,173.160003662109,173.160003662109,28180500
2024-02-29,173.009994506836,177.220001220703,172.850006103516,176.759994506836,176.759994506836,53805400
2024-03-01,176.75,178.729995727539,176.070007324219,178.220001220703,178.220001220703,31956200
2024-03-04,177.529998779297,180.139999389648,177.490005493164,177.580001831055,177.580001831055,37381500
2024-03-05,176.929992675781,176.929992675781,173.300003051758,174.119995117188,174.119995117188,37228300
2024-03-06,175.539993286133,176.460006713867,173.259994506836,173.509994506836,173.509994506836,32090900
2024-03-07,174.830001831055,177.990005493164,173.720001220703,176.820007324219,176.820007324219,34063300
2024-03-08,176.440002441406,178.789993286133,174.330001831055,175.350006103516,175.350006103516,37853500
2024-03-11,174.309997558594,174.470001220703,171.470001220703,171.960006713867,171.960006713867,28484800
2024-03-12,173.5,176.759994506836,171.979995727539,175.389999389648,175.389999389648,36610600
2024-03-13,175.899993896484,177.619995117188,175.550003051758,176.559997558594,176.559997558594,30772600
2024-03-14,177.690002441406,179.529998779297,176.470001220703,178.75,178.75,43705800
2024-03-15,176.639999389648,177.929992675781,173.899993896484,174.419998168945,174.419998168945,72115500
2024-03-18,175.800003051758,176.690002441406,174.279998779297,174.479995727539,174.479995727539,31250700
2024-03-19,174.220001220703,176.089996337891,173.520004272461,175.899993896484,175.899993896484,26880900
2024-03-20,176.139999389648,178.529998779297,174.639999389648,178.149993896484,178.149993896484,29947200
2024-03-21,179.990005493164,181.419998168945,178.149993896484,178.149993896484,178.149993896484,32824300
2024-03-22,177.75,179.259994506836,176.75,178.869995117188,178.869995117188,27964100
2024-03-25,178.009994506836,180.990005493164,177.240005493164,179.710006713867,179.710006713867,29815500
2024-03-26,180.149993896484,180.449996948242,177.949996948242,178.300003051758,178.300003051758,29659000
2024-03-27,179.880004882813,180,177.309997558594,179.830001831055,179.830001831055,33272600
2024-03-28,180.169998168945,181.699996948242,179.259994506836,180.380004882813,180.380004882813,38051600
